title,comments,age,thread
spells curses love make pop rock shred guitar solo boot,0,61945.09516872565,rock
lizzy borden psychopath,1,62078.078502058976,rock
sonic rade lost identity,2,62592.645168725656,rock
dave navarro raising mental health awareness losing legends covering ziggy stardust,1,62432.22850205898,rock
cough visual art department,0,62434.395168725656,rock
meat loaf anything love,2,63086.128502058986,rock
jesse j smith iron chord commercial single version hard rock,1,62586.261835392324,rock
birthday party junkyard,0,63024.52850205897,rock
radiohead creep,15,64058.21183539232,rock
deep purple soldier fortune,4,63372.928502058974,rock
iffis place,0,62714.77850205897,rock
styx jennifer,0,63157.245168725654,rock
september covers thread,14,63763.928502058974,rock
st century time travelling wukong monkey king prog alt rock fusion,0,63089.011835392324,rock
september recommendations suggestions playlists thread,42,63766.19516872565,rock
jack white sixteen saltines,1,63810.02850205897,rock
ozzy osbourne running time,0,63864.178502058974,rock
self end,0,63444.078502058976,rock
phil collins missed,0,64486.761835392324,rock
led zeppelin quit baby live royal albert hall,0,64072.27850205897,rock
shadows apache,0,63963.94516872565,rock
vegas preacher new album years,0,63615.27850205897,rock
cold shoulder call official video,0,63776.81183539231,rock
mountain nantucket sleigh ride,0,64192.995168725654,rock
question tv add,0,64305.261835392324,rock
r e shiny happy people ft kate pierson,11,65415.645168725656,rock
newstartingover carry,0,64149.578502058976,rock
eric gales band boom boom club sutton uk fear reaper halloween,0,65088.56183539231,rock
alpine dystopia revolution music video,0,64322.96183539232,rock
opinion beach boys albums,6,64775.395168725656,rock
unboxing tool fear inoculum limited edition physical package watch,7,65967.51183539232,rock
max armfield gold coast,0,64871.72850205898,rock
takeover picturesque alt rock,0,65136.54516872566,rock
reaperz living dead lyrics ffo foo fighters arctic monkeys royal blood biffy clyro,0,65186.828502058976,rock
serj tankian empty walls,5,66611.69516872565,rock
van halen get stuff,0,66007.87850205899,rock
cutting crew died arms tonight aug remake,0,65936.27850205898,rock
embark parting,0,65580.34516872566,rock
replacements anywhere better,0,66329.01183539232,rock
l nothing,2,66227.87850205899,rock
mooney suzuki young man mind,1,66522.67850205899,rock
shelters line,2,66317.92850205899,rock
devo gut feeling,0,67366.19516872565,rock
heaven hell bible black ten years ago today ronnie james dio performed onstage final time rip one metal time greats,2,67477.37850205899,rock
cakeface carnal hard rock grunge,0,66513.84516872566,rock
sweet spirit wanna,0,66611.07850205897,rock
sensmith compresence japan,0,66837.74516872565,rock
pere ubu seconds tokyo,0,67367.77850205898,rock
supafuzz king flat effing rock,0,66893.22850205898,rock
pop artists heading back rock punk,21,68263.34516872566,rock
nature living substance,0,67002.81183539232,rock
evolution axl rose band pictures,0,67176.19516872565,rock
siouxsie banshees hong kong garden,0,67932.82850205897,rock
sisters mercy never land fragment,1,67935.44516872565,rock
redscale feed lions,2,67861.61183539232,rock
features exorcising demons,0,67731.57850205897,rock
anomia cronos new single,2,67866.02850205898,rock
